job_name,raw_time,job_length_seconds
3DS_CFD,1:36:02,5762
3DS_CFD,1:38:01,5881
3DS_CFD,1:38:48,5928
3DS_CFD,1:41:51,6111
3DS_CFD,1:41:54,6114
3DS_CFD,1:41:55,6115
3DS_CFD,1:42:45,6165
3DS_CFD,1:42:59,6179
3DS_CFD,1:43:45,6225
3DS_CFD,1:45:52,6352
3DS_CFD,1:50:13,6613
3DS_CFD,1:50:25,6625
3DS_CFD,1:51:31,6691
3DS_CFD,1:54:30,6870
3DS_CFD,1:57:22,7042
3DS_CFD,1:57:58,7078
3DS_CFD,1:59:15,7155
3DS_CFD,2:00:53,7253
3DS_CFD,2:07:01,7621
3DS_CFD,2:13:58,8038
3DS_CFD,2:17:02,8222
3DS_CFD,2:17:35,8255
3DS_CFD,2:17:42,8262
3DS_CFD,2:18:36,8316
3DS_CFD,2:18:59,8339
3DS_CFD,2:19:31,8371
3DS_CFD,2:25:28,8728
3DS_CFD,2:27:52,8872
3DS_CFD,2:28:24,8904
3DS_CFD,2:31:49,9109
3DS_CFD,2:35:48,9348
3DS_CFD,2:54:15,10455
3DS_CFD,2:56:13,10573
3DS_CFD,2:56:37,10597
3DS_CFD,3:03:34,11014
3DS_CFD,3:04:09,11049
3DS_CFD,3:15:06,11706
3DS_CFD,3:17:09,11829
3DS_CFD,3:17:35,11855
3DS_CFD,3:23:27,12207
3DS_CFD,4:14:01,15241
3DS_CFD,4:30:25,16225
3DS_CFD,4:45:48,17148
3DS_CFD,5:35:03,20103
3DS_CFD_FWT,2:44:46,9886
3DS_CFD_FWT,2:48:03,10083
3DS_CFD_FWT,3:08:54,11334
3DS_CFD_FWT,3:11:21,11481
3DS_CFD_FWT,3:38:20,13100
3DS_CFD_FWT,3:51:12,13872
3DS_CFD_FWT,4:02:26,14546
3DS_CFD_FWT,4:05:06,14706
3DS_CFD_FWT,4:11:41,15101
3DS_CFD_FWT,4:12:12,15132
3DS_CFD_FWT,4:30:50,16250
3DS_CFD_FWT,4:54:44,17684
3DS_CFD_FWT,5:22:43,19363
3DS_CFD_FWT,5:29:11,19751
3DS_CFD_FWT,5:51:52,21112
3DS_CFD_FWT,5:52:30,21150
3DS_CFD_FWT,6:16:21,22581
3DS_CFD_FWT,6:24:38,23078
3DS_CFD_FWT,6:50:54,24654
3DS_CFD_LPS,2:48:34,10114
3DS_CFD_LPS,3:14:36,11676
3DS_CFD_LPS,60:29:25,217765
3DS_CFD_LPS,114:20:16,411616
3DS_CFD_LPS,174:16:22,627382
3DS_CFD_LPS,185:26:37,667597
3DS_CFD_LPS,185:59:46,669586
3DS_CFD_LPS,187:30:50,675050
3DS_CFD_LPS,190:59:40,687580
3DS_CONS,4:37:56,16676
3DS_CONS,4:56:00,17760
3DS_CONS,4:56:55,17815
3DS_CONS,5:02:46,18166
3DS_CONS,5:05:27,18327
3DS_CONS,5:09:29,18569
3DS_CONS,5:11:57,18717
3DS_CONS,5:14:49,18889
3DS_CONS,5:20:23,19223
3DS_CONS,5:24:22,19462
3DS_CONS,5:26:13,19573
3DS_CONS,5:32:48,19968
3DS_CONS,5:53:08,21188
3DS_CONS,6:01:29,21689
3DS_CONS,6:06:03,21963
3DS_CONS,6:07:50,22070
3DS_CONS,6:08:19,22099
3DS_CONS,6:10:02,22202
3DS_CONS,6:21:19,22879
3DS_CONS,6:36:12,23772
3DS_CONS,6:43:41,24221
3DS_CONS,6:45:45,24345
3DS_CONS,6:49:35,24575
3DS_CONS,6:49:52,24592
3DS_CONS,7:00:17,25217
3DS_CONS,7:06:40,25600
3DS_CONS,7:18:50,26330
3DS_CONS,7:39:45,27585
3DS_CONS,7:47:59,28079
3DS_CONS,7:53:33,28413
3DS_CONS,7:55:32,28532
3DS_CONS,8:03:28,29008
3DS_CONS,8:13:09,29589
3DS_CONS,8:19:12,29952
3DS_CONS,8:30:58,30658
3DS_CONS,8:33:29,30809
3DS_CONS,8:36:32,30992
3DS_CONS,8:38:50,31130
3DS_CONS,8:48:27,31707
3DS_CONS,8:48:52,31732
3DS_CONS,8:58:50,32330
3DS_CONS,9:06:21,32781
3DS_CONS,9:26:12,33972
3DS_CONS,9:31:26,34286
3DS_CONS,9:44:01,35041
3DS_CONS,9:54:57,35697
3DS_CONS,10:38:31,38311
3DS_CONS,10:55:39,39339
3DS_CONS,11:31:48,41508
3DS_CONS,11:48:56,42536
3DS_CONS,12:16:37,44197
3DS_CONS,14:22:10,51730
3DS_CONS,14:31:25,52285
3DS_CONS,14:36:06,52566
3DS_CONS,15:59:14,57554
3DS_CONS,15:59:47,57587
3DS_CONS,16:48:39,60519
3DS_CONS,18:57:05,68225
3DS_CONS,19:12:31,69151
3DS_CONS,20:04:10,72250
3DS_CONS,21:04:53,75893
3DS_CONS,21:21:38,76898
3DS_CONS,23:16:10,83770
3DS_CONS,23:24:07,84247
3DS_CONS,24:45:10,89110
3DS_FWT,0:00:01,1
3DS_FWT,6:28:45,23325
3DS_FWT,6:31:15,23475
3DS_FWT,6:35:01,23701
3DS_FWT,6:52:03,24723
3DS_FWT,6:52:30,24750
3DS_FWT,6:57:03,25023
3DS_FWT,7:06:46,25606
3DS_FWT,7:22:13,26533
3DS_FWT,7:46:58,28018
3DS_FWT,7:47:21,28041
3DS_FWT,7:51:00,28260
3DS_FWT,7:54:02,28442
