user,group,jobname,length
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,8
ramarty,ad-reu,runscript_casestudy.txt,9
ramarty,ad-reu,runscript_casestudy.txt,9
ramarty,ad-reu,runscript_casestudy.txt,9
ramarty,ad-reu,runscript_casestudy.txt,9
ramarty,ad-reu,runscript_casestudy.txt,9
ramarty,ad-reu,runscript_casestudy.txt,9
ramarty,ad-reu,runscript_casestudy.txt,10
ramarty,ad-reu,runscript_casestudy.txt,11
ramarty,ad-reu,runscript_casestudy.txt,11
ramarty,ad-reu,runscript_casestudy.txt,11
ramarty,ad-reu,runscript_casestudy.txt,11
ramarty,ad-reu,runscript_casestudy.txt,11
ramarty,ad-reu,runscript_casestudy.txt,11
ramarty,ad-reu,runscript_casestudy.txt,12
ramarty,ad-reu,runscript_casestudy.txt,12
ramarty,ad-reu,runscript_casestudy.txt,12
ramarty,ad-reu,runscript_casestudy.txt,12
ramarty,ad-reu,runscript_casestudy.txt,12
ramarty,ad-reu,runscript_casestudy.txt,12
ramarty,ad-reu,runscript_casestudy.txt,12
ramarty,ad-reu,runscript_casestudy.txt,12
ramarty,ad-reu,runscript_casestudy.txt,14
ramarty,ad-reu,runscript_casestudy.txt,14
ramarty,ad-reu,runscript_casestudy.txt,14
ramarty,ad-reu,runscript_casestudy.txt,15
ramarty,ad-reu,runscript_casestudy.txt,15
ramarty,ad-reu,runscript_casestudy.txt,15
ramarty,ad-reu,runscript_casestudy.txt,15
ramarty,ad-reu,runscript_casestudy.txt,15
ramarty,ad-reu,runscript_casestudy.txt,15
ramarty,ad-reu,runscript_casestudy.txt,15
ramarty,ad-reu,runscript_casestudy.txt,15
ramarty,ad-reu,runscript_casestudy.txt,15
ramarty,ad-reu,runscript_casestudy.txt,15
